深证A股,000548,湖南投资,1993-12-20
深证A股,000550,江铃汽车,1993-12-01
深证A股,000551,创元科技,1994-01-06
深证A股,000552,甘肃能化,1994-01-06
深证A股,000553,安道麦A,1993-12-03
深证A股,000554,泰山石油,1993-12-15
深证A股,000555,神州信息,1994-04-08
深证A股,000557,西部创业,1994-06-17
深证A股,000558,莱茵体育,1994-05-09
深证A股,000559,万向钱潮,1994-01-10
深证A股,000560,我爱我家,1994-02-02
深证A股,000561,烽火电子,1994-05-09
深证A股,000563,陕国投Ａ,1994-01-10
深证A股,000564,ST大集,1994-01-10
深证A股,000565,渝三峡Ａ,1994-04-08
深证A股,000566,海南海药,1994-05-25
深证A股,000567,海德股份,1994-05-25
深证A股,000568,泸州老窖,1994-05-09
深证A股,000570,苏常柴Ａ,1994-07-01
深证A股,000571,新大洲A,1994-05-25
深证A股,000572,海马汽车,1994-08-08
深证A股,000573,粤宏远Ａ,1994-08-15
深证A股,000576,甘化科工,1994-09-07
深证A股,000581,威孚高科,1998-09-24
深证A股,000582,北部湾港,1995-11-02
深证A股,000584,ST工智,1995-11-28
深证A股,000586,汇源通信,1995-12-20
深证A股,000589,贵州轮胎,1996-03-08
深证A股,000590,启迪药业,1996-01-19
深证A股,000591,太阳能,1996-02-08
深证A股,000592,平潭发展,1996-03-27
深证A股,000593,德龙汇能,1996-03-12
深证A股,000595,宝塔实业,1996-04-19
深证A股,000596,古井贡酒,1996-09-27
深证A股,000597,东北制药,1996-05-23
深证A股,000598,兴蓉环境,1996-05-29
深证A股,000599,青岛双星,1996-04-30
深证A股,000600,建投能源,1996-06-06
深证A股,000601,韶能股份,1996-08-30
深证A股,000603,盛达资源,1996-08-23
深证A股,000605,渤海股份,1996-09-13
深证A股,000607,华媒控股,1996-08-30
深证A股,000608,阳光股份,1996-09-19
深证A股,000609,中迪投资,1996-10-10
深证A股,000610,西安旅游,1996-09-26
深证A股,000612,焦作万方,1996-09-26
深证A股,000615,*ST美谷,1996-10-16
深证A股,000617,中油资本,1996-10-22
深证A股,000619,海螺新材,1996-10-23
深证A股,000620,*ST新联,1996-10-29
深证A股,000622,恒立实业,1996-11-07
深证A股,000623,吉林敖东,1996-10-28
深证A股,000625,长安汽车,1997-06-10
深证A股,000626,远大控股,1996-11-28
深证A股,000627,天茂集团,1996-11-12
深证A股,000628,高新发展,1996-11-18
深证A股,000629,钒钛股份,1996-11-15
深证A股,000630,铜陵有色,1996-11-20
深证A股,000631,顺发恒业,1996-11-22
深证A股,000632,三木集团,1996-11-21
深证A股,000633,合金投资,1996-11-12
深证A股,000635,英 力 特,1996-11-20
深证A股,000636,风华高科,1996-11-29
深证A股,000637,ST实华,1996-11-14
深证A股,000638,万方发展,1996-11-26
深证A股,000639,西王食品,1996-11-26
深证A股,000650,仁和药业,1996-12-10
深证A股,000651,格力电器,1996-11-18
深证A股,000652,泰达股份,1996-11-28
深证A股,000655,金岭矿业,1996-11-28
深证A股,000656,金科股份,1996-11-28
深证A股,000657,中钨高新,1996-12-05
深证A股,000659,珠海中富,1996-12-03
深证A股,000661,长春高新,1996-12-18
深证A股,000663,永安林业,1996-12-06
深证A股,000665,湖北广电,1996-12-10
深证A股,000668,荣丰控股,1996-12-10
深证A股,000669,ST金鸿,1996-12-10
深证A股,000670,盈方微,1996-12-17
深证A股,000672,上峰水泥,1996-12-18
深证A股,000676,智度股份,1996-12-24
深证A股,000677,恒天海龙,1996-12-26
深证A股,000678,襄阳轴承,1997-01-06
深证A股,000679,大连友谊,1997-01-24
深证A股,000680,山推股份,1997-01-22
深证A股,000681,视觉中国,1997-01-21
深证A股,000682,东方电子,1997-01-21
深证A股,000683,远兴能源,1997-01-31
深证A股,000685,中山公用,1997-01-23
深证A股,000686,东北证券,1997-02-27
深证A股,000688,国城矿业,1997-01-20
深证A股,000690,宝新能源,1997-01-28
深证A股,000691,亚太实业,1997-02-28
深证A股,000692,*ST惠天,1997-02-27
深证A股,000695,滨海能源,1997-02-18
深证A股,000697,*ST炼石,1997-03-25
深证A股,000698,沈阳化工,1997-02-20
深证A股,000700,模塑科技,1997-02-28
深证A股,000701,厦门信达,1997-02-26
深证A股,000702,正虹科技,1997-03-18
深证A股,000703,恒逸石化,1997-03-28
深证A股,000705,浙江震元,1997-04-10
深证A股,000707,双环科技,1997-04-15
深证A股,000708,中信特钢,1997-03-26
深证A股,000709,河钢股份,1997-04-16
深证A股,000710,贝瑞基因,1997-04-22
深证A股,000711,*ST京蓝,1997-04-11
深证A股,000712,锦龙股份,1997-04-15
深证A股,000713,丰乐种业,1997-04-22
深证A股,000715,中兴商业,1997-05-08
深证A股,000716,黑芝麻,1997-04-18
深证A股,000717,中南股份,1997-05-08
深证A股,000718,苏宁环球,1997-04-08
深证A股,000719,中原传媒,1997-03-31
深证A股,000720,新能泰山,1997-05-09
深证A股,000721,西安饮食,1997-04-30
深证A股,000722,湖南发展,1997-05-22
深证A股,000723,美锦能源,1997-05-15
深证A股,000725,京东方Ａ,2001-01-12
深证A股,000726,鲁  泰Ａ,2000-12-25
深证A股,000727,冠捷科技,1997-05-20
深证A股,000728,国元证券,1997-06-16
深证A股,000729,燕京啤酒,1997-07-16
深证A股,000731,四川美丰,1997-06-17
深证A股,000733,振华科技,1997-07-03
